nt_book,nt_chap,nt_verse,lxx_chap,lxx_verse,votes,nt_v6_ref,lxx_v6_ref
Heb,13,15,144,16,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.16
Heb,13,15,144,17,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.17
Heb,13,15,144,18,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.18
Heb,13,15,144,19,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.19
Heb,13,15,144,20,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.20
Heb,13,15,144,21,17,novum_testamentum.ad_hebraeos.13.15,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.144.21
Heb,4,13,89,8,16,novum_testamentum.ad_hebraeos.4.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.89.8
Heb,4,13,7,9,16,novum_testamentum.ad_hebraeos.4.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.7.9
Heb,10,38,84,8,16,novum_testamentum.ad_hebraeos.10.38,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.84.8
Heb,11,25,83,10,16,novum_testamentum.ad_hebraeos.11.25,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.83.10
Heb,12,6,93,12,16,novum_testamentum.ad_hebraeos.12.6,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.93.12
Heb,7,17,109,4,15,novum_testamentum.ad_hebraeos.7.17,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.109.4
Heb,10,31,75,7,15,novum_testamentum.ad_hebraeos.10.31,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.75.7
Heb,12,2,137,8,15,novum_testamentum.ad_hebraeos.12.2,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.137.8
Heb,13,20,22,1,15,novum_testamentum.ad_hebraeos.13.20,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.22.1
Heb,1,10,8,3,14,novum_testamentum.ad_hebraeos.1.10,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.3
Heb,1,10,8,4,14,novum_testamentum.ad_hebraeos.1.10,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.8.4
Heb,2,1,118,9,14,novum_testamentum.ad_hebraeos.2.1,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.118.9
Heb,3,10,94,10,13,novum_testamentum.ad_hebraeos.3.10,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.94.10
Heb,10,22,72,28,13,novum_testamentum.ad_hebraeos.10.22,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.72.28
Heb,10,30,49,4,13,novum_testamentum.ad_hebraeos.10.30,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.49.4
Heb,10,35,18,11,13,novum_testamentum.ad_hebraeos.10.35,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.18.11
Heb,11,13,38,12,13,novum_testamentum.ad_hebraeos.11.13,septuaginta.psalmi urn:cts:greekLit:tlg0527.tlg027.1st1K-grc1.38.12
